mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
KOP 0402;voor duiker aan Wzijde van pw nr.29 tussen hmp 5,7;112670;442284;KRIWA;Krimpenerwaard;1;;M10;;;1980;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;16;14;1;;;;;4,77123767009658;51,9673634893664
KOP 0403;voor duiker ten oost. v.d. Berkenwoudse Kerkweg no;107680;440510;KRIWA;Krimpenerwaard;3;;M08;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Berkenwoude;;;;;;;;;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,69887491714271;51,9510167682304
KOP 0404;bij huis nr.20a in de Achterbroek;107840;442350;KRIWA;Krimpenerwaard;3;;-;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Berkenwoude;;;;;;;;;;;;;4,70094940696693;51,967567694409
KOP 0405;lozing z.i. Stolwijk  nabij lozingspunt t.h.v. par;111818;443700;KRIWA;Krimpenerwaard;1;;M10;;;1980;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Ringvaart;Stolwijk;1;;Overige watergang;;;16;15;1;;;;;4,75866226691826;51,9800245705162
KOP 0406;voor duiker onder fietspad, verlengde v Ouderkerks;105810;439550;KRIWA;Krimpenerwaard;3;;M08;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Ouderkerk aan den IJssel;;;;;;;;;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,67181290110822;51,9422262859124
KOP 0407;Lange Tiendweg;107458;443668;KRIWA;Krimpenerwaard;1;veedrenking;-;;;2007;;;;;1;Krimpenerwaard;;;Regulier;;Gouderak;;;;;;;;;;;;;4,69520843746869;51,9793808624953
KOP 0408;noordelijk van de brug in de Gouderakse Tiendweg;109640;446090;KRIWA;Krimpenerwaard;1;;M10;;;1980;;Kleidek op veen;VEEN;Groen;1;Gouda;;Gras;Regulier;Ringvaart (ged.);Gouda;;;Overige watergang;;;12;13,5;1;;;;;4,72664582568194;52,0013315080867
KOP 0409;Bovenkerkseweg 92;113812;442916;KRIWA;Krimpenerwaard;1;veedrenking;-;;;2007;;;;;1;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,78777874624118;51,9731296034979
KOP 0410;Bovenkerkseweg 92;113827;442883;KRIWA;Krimpenerwaard;1;veedrenking;-;;;2007;;;;;1;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,78800099551958;51,9728341185415
KOP 0411;Het Wiel Ysseldijk nabij dijkpaal 35.8;104800;443290;KRIWA;Krimpenerwaard;1;;-;;;1980;;Bebouwing;STEDELIJK;Groen;1;Krimpenerwaard;;;Regulier;;Gouderak;;;Overige watergang;;;;4;0,8;;;;;4,65657834350566;51,9757496698271
KOP 0412;in het Oostelijke uiteinde van Bovenkerk;114620;443240;KRIWA;Krimpenerwaard;3;;-;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,79949913437034;51,9761009704188
KOP 0413;zuidelijk van Benedenheul verlengde van Elzenkade;109000;440570;KRIWA;Krimpenerwaard;3;;-;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Berkenwoude;;;;;;;;;;;;;4,71806664307219;51,9516668355441
KOP 0414;pnt 111-444/480 Goudsevliet lngs de Goudsewg brug;111290;444560;KRIWA;Krimpenerwaard;3;;-;;;1980;;;;;;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,75086772514928;51,9877127071096
KOP 0415;WATERGANG Oosteinde Bwoude to nr 3 va brug;108520;439820;KRIWA;Krimpenerwaard;1;;M08;;;1983;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Stedelijk;Regulier;Voorwetering Oosteinde / Westeinde;Berkenwoude;1;;Hoofdwatergang;;;6;11;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,71118629408031;51,9448861243985
KOP 0416;sloot west van Elserkade, Benedenheul te Berkenwou;108940;440650;KRIWA;Krimpenerwaard;3;;-;;;1983;;;;;;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,7171831851225;51,9523808838651
KOP 0417;Molenvliet van brug in Benedenheul;109420;440840;KRIWA;Krimpenerwaard;3;;M10;;;1983;;;;;;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;NL39_21a;Stolwijk;M10;;4,72413992078263;51,9541281193219
KOP 0418;wegsloot west van Bilwijkerweg te Stolwijk;112200;443900;KRIWA;Krimpenerwaard;3;;-;;;1983;;;;;;Krimpenerwaard;;;Regulier;;Stolwijk;;;;;;;;;;;;;4,7641972367839;51,9818516879329
KOP 0419;vanaf brug in watergang ten noorden van weg naar awzi;108644;438838;KRIWA;Krimpenerwaard;1;;M08;;;1984;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Ringvaart;Berkenwoude;1;;Overige watergang;;;15;18;1;NL39_12a;Sloten waterrijk Berkenwoude;M8;;4,71312212330874;51,9360705362286
KOP 0420;ter hoogte van Hw Oudelandseweg;106370;439070;KRIWA;Krimpenerwaard;3;;-;;;1985;;;;;;Krimpenerwaard;;;Regulier;;Ouderkerk aan den IJssel;;;;;;;;;;;;;4,68002453191009;51,9379614670005
KOP 0421;Molenvliet, achter gemaal te Gouderak;106113;444019;KRIWA;Krimpenerwaard;1;;M10;;;1986;;Bebouwing;STEDELIJK;Groen;1;Krimpenerwaard;;Stedelijk;Regulier;Verbindingsloot;Gouderak;;;Hoofdwatergang;;;10;10,2;1,1;;;;;4,67558276599926;51,982418753402
KOP 0422;vanaf steigers oost Tentwg Stolwijk in Achterweter;112894;442383;KRIWA;Krimpenerwaard;3;;-;;;1987;;Bebouwing;STEDELIJK;;;Krimpenerwaard;;;Regulier;Achterwetering (Bovenkerk zuidz.);Stolwijk;;;Overige watergang;;;;11,6;1;;;;;4,77448488181601;51,9682702997097
KOP 0423;poel in natuurgeb.Veerstalblok;108220;445850;KRIWA;Krimpenerwaard;3;;-;;;1987;;;;;;Krimpenerwaard;;;Regulier;;Gouderak;;;;;;;;;;;;;4,70600115499461;51,999056613877
KOP 0424;achter boerderij Kattendijk 65 Gouderak;106100;443550;KRIWA;Krimpenerwaard;3;;-;;;1987;;;;;;Krimpenerwaard;;;Regulier;;Gouderak;;;;;;;;;;;;;4,67546041926491;51,9782024189718
KOP 0425;nabij paal met gele kop in Nat.gebied Veerstalblok;108450;445500;KRIWA;Krimpenerwaard;3;;-;;;;;Kleidek op veen;VEEN;;;Krimpenerwaard;;;;Wegsl. Tiendweg Veerstalblok;Gouderak;;;Overige watergang;;;;7,5;1;;;;;4,70939769662589;51,995930275056
KOP 0426;Vanaf brg in perceel achter ligboxstal Middelblok7;106900;444600;KRIWA;Krimpenerwaard;3;;-;;;1987;;;;;;Krimpenerwaard;;;Regulier;;Gouderak;;;;;;;;;;;;;4,68695634412931;51,9877092845587
KOP 0427;WETERING gemaal Verdoold Gouderak vo krooshek;105934;444150;KRIWA;Krimpenerwaard;1;;M10;;1;1990;;Bebouwing;STEDELIJK;Blauw;1;Krimpenerwaard;;Afvoer/gemaal;Regulier;Maalkom Verdoold;Gouderak;1;;Hoofdwatergang;;;10;11,4;2,5;;;;;4,6729586136194;51,9835803433701
KOP 0428;Stolwijk,kruising Achterbroek/Beyerscheweg n.o. va;108845;443870;KRIWA;Krimpenerwaard;1;;M10;;;1990;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Achterwet. noordk. Beijerscheweg;Stolwijk;;;Overige watergang;;;13;19;1;;;;;4,71536829280651;51,9813133675152
KOP 0429;Stolwijk, einde Beyerscheweg vanaf witte brug;109240;443530;KRIWA;Krimpenerwaard;1;;M08;;;1990;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Voorwetering Beijerscheweg;Stolwijk;;;Hoofdwatergang;;;6;11;1;;;;;4,72116292503804;51,9782902422158
KOP 0430;ca.200m ten w. v. kruising Kijfhoeksekade/Zuidbroe;108650;438140;KRIWA;Krimpenerwaard;1;;-;;;1990;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Krimpenerwaard;;Recreatie;Regulier;Vliet v/d noord. tot zuid.  boezem.;Lekkerkerk;;;Overige watergang;;;;6,3;1;;;;;4,71330347075715;51,9297976009291
KOP 0431;Stolwijk, vanaf brug Beyerscheweg nr.2;111150;444880;KRIWA;Krimpenerwaard;1;;M08;;;1990;;Kleidek op veen;VEEN;Groen;1;Krimpenerwaard;;Gras;Regulier;Voorwetering Beijerscheweg;Stolwijk;;;Hoofdwatergang;;;7;8;1;;;;;4,74878877674325;51,9905777362371
