mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
KOP 0442;Hw. t.n.v. Zuidbroek. Ten oosten van pandnr. 177.;109140;438826;KRIWA;Krimpenerwaard;3;;M08;;;1996;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Krimpenerwaard;;Gras;Regulier;Voorwetering;Bergambacht;;;Overige watergang;;;2,5;10,3;1;;;;;4,72033578367795;51,9360038085204
KOP 0443;Wegsloot t.o.v. Opweg t.o. Adelaarsnest nr.6.;109142;439746;KRIWA;Krimpenerwaard;3;;M08;;;1996;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Ringvaart;Bergambacht;;;Overige watergang;;;4;14;1;;;;;4,72024210095585;51,9442726863518
KOP 0444;Water in bebossing in natuurgebiedje. Monster neme;0;0;KRIWA;Krimpenerwaard;3;;-;;;2000;;;;;;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;;;
KOP 0445;Plasje in natuurgebied, achter wit huis met nr. 2.;108393;445385;KRIWA;Krimpenerwaard;3;;-;;;2000;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;;Regulier;Wegsl. Tiendweg Veerstalblok;Gouderak;;;Overige watergang;;;;7,5;1;;;;;4,70858342710942;51,9948919135083
KOP 0446;Sloot centraal over de lengte van deze Blokboezem;108347;445486;KRIWA;Krimpenerwaard;1;;-;;;2000;;Kleidek op veen;VEEN;Blauw;1;Krimpenerwaard;;Gras;Regulier;Wegsl. Tiendweg Veerstalblok;Gouderak;;;Overige watergang;;;;7,5;1;;;;;4,70789994084271;51,9957958015952
KOP 0447;Koolwijkse Vliet oostkant vanaf terrein Zijderlaan;112696;442538;KRIWA;Krimpenerwaard;3;;-;;;2001;;Bebouwing;STEDELIJK;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;;15;1;;;;;4,77158467666413;51,9696483628762
KOP 0448;Singel vanaf brug Bilwijkerweg;112623;443234;KRIWA;Krimpenerwaard;3;;-;;;2001;;Bebouwing;STEDELIJK;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Achterwetering Bovenkerk noordz. (ged.);Stolwijk;;;Hoofdwatergang;;;;8,4;1;;;;;4,77043645574416;51,9758982816104
KOP 0449;Hoofdwatergang parallel aan en westelijk van N207;112795;442031;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;;14;1;;;;;4,77308761984204;51,9650990919727
KOP 0450;Ringvaart vanaf terrein muskusrattenbestrijding PZ;112499;442635;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;;15;1;;;;;4,76870602941605;51,9705051402875
KOP 0451;HFDWATERGANG kruisend N207 bij Stolwijk va duiker;112277;443233;KRIWA;Krimpenerwaard;1;;-;;;2002;;Bebouwing;STEDELIJK;Groen;1;Krimpenerwaard;;Gras;Regulier;Doorgang Prov. weg;Stolwijk;1;;Overige watergang;;;;8;1;;;;;4,76540108424011;51,9758627895278
KOP 0452;Ringvaart ten westen van N207, ten zuiden van brug;109852;445951;KRIWA;Krimpenerwaard;3;;-;;;2002;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Ringvaart (ged.);Haastrecht;;;Hoofdwatergang;;;;17,5;1;;;;;4,7297512085574;52,0000995069315
KOP 0453;Ringvaart ten westen van N207, thv. Paaltje 13.0;110676;445349;KRIWA;Krimpenerwaard;3;;-;;;2002;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Ringvaart;Stolwijk;;;Hoofdwatergang;;;;16,5;1;;;;;4,74182755317738;51,9947553282681
KOP 0454;Ringvaart ten westen van N207, thv. Paaltje 11.4;111514;444098;KRIWA;Krimpenerwaard;3;;-;;;2002;;Kleidek op veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;;15;1;;;;;4,75418714802312;51,9835779669966
KOP 0455;Ringvaart ten westen van N207, thv. Paaltje 10.7;111962;443564;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Stedelijk;Regulier;Ringvaart;Stolwijk;;;Overige watergang;;;;15;1;;;;;4,76077522152434;51,9788134151717
KOP 0456;Landscheiding ca. 1 km westelijk van Ringvaart per;110993;443519;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;;Regulier;Landscheiding;Stolwijk;;;Hoofdwatergang;;;;20;1;;;;;4,74667781791936;51,9783330370103
KOP 0457;Achterwetering vanaf Benedenheul huisnr. 10;110663;441346;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Groen;;Krimpenerwaard;;Gras;Regulier;Achterwetering Benedenkerk zuidz.;Stolwijk;;;Hoofdwatergang;;;;13,6;1;;;;;4,74215568608549;51,9587764613755
KOP 0458;Molenvliet kruisend benedenheul vanaf brug thv. Hu;109418;440873;KRIWA;Krimpenerwaard;3;;-;;;2002;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Krimpenerwaard;;Gras;Regulier;Molenvliet;Stolwijk;;;Hoofdwatergang;;;;22,2;1,3;;;;;4,72410644803392;51,9544245500433
