mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
XKOP 0106;Bergambacht (Krabbescheer);114080;439650;KRIWA;Krimpenerwaard;3;Komt niet overeen met KOP 0106;-;;;;;;;;;Krimpenerwaard;;;;;Bergambacht;;;;;;;;;;;;
XKOP 0108;Bergambacht (Krabbescheer);107390;436030;KRIWA;Krimpenerwaard;3;Komt niet overeen met KOP 0108;-;;;;;;;;;Krimpenerwaard;;;;;Lekkerkerk;;;;;;;;;;;;
ZHP 1;Zevenhuizerplas 1;97974;443667;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 10;Zevenhuizerplas 10;98147;443478;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 100;Zevenhuizerplas 100;98490;444107;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 101;Zevenhuizerplas 101;98444;444178;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 102;Zevenhuizerplas 102;98380;444159;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 103;Zevenhuizerplas 103;98320;444165;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 104;Zevenhuizerplas 104;98260;444174;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 105;Zevenhuizerplas 105;98200;444174;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 106;Zevenhuizerplas 106;98130;444190;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 107;Zevenhuizerplas 107;98080;444183;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 108;Zevenhuizerplas 108;98020;444167;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 109;Zevenhuizerplas 109;97960;444140;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 11;Zevenhuizerplas 11;98180;443469;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 110;Zevenhuizerplas 110;97900;444100;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 111;Zevenhuizerplas 111;97850;444023;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 112;Zevenhuizerplas 112;97845;443933;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 113;Zevenhuizerplas 113;97869;443886;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 114;Zevenhuizerplas 114;97905;443850;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 115;Zevenhuizerplas 115;97915;443783;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 116;Zevenhuizerplas 116;97927;443749;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 117;Zevenhuizerplas 117;99428;444681;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 118;Zevenhuizerplas 118;99446;444745;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;;;;
ZHP 119;Zevenhuizerplas 119;99480;444791;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;;;;
ZHP 12;Zevenhuizerplas 12;98246;443440;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 120;Zevenhuizerplas 120;99420;444791;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 121;Zevenhuizerplas 121;99336;444757;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 122;Zevenhuizerplas 122;99275;444693;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 123;Zevenhuizerplas 123;99312;444710;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 124;Zevenhuizerplas 124;98720;444149;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 125;Zevenhuizerplas 125;98744;444207;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 126;Zevenhuizerplas 126;98750;444249;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 127;Zevenhuizerplas 127;98777;444312;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 128;Zevenhuizerplas 128;98807;444353;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 129;Zevenhuizerplas 129;98850;444374;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 13;Zevenhuizerplas 13;98287;443457;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 130;Zevenhuizerplas 130;98928;444411;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 131;Zevenhuizerplas 131;98975;444436;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;8;1;NL39_04a;Zevenhuizerplas;M20;
ZHP 132;Zevenhuizerplas (waterwijk) 132;100688;444712;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;;;;
ZHP 133;Zevenhuizerplas (waterwijk) 133;100657;444675;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 134;Zevenhuizerplas (waterwijk) 134;100593;444662;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 135;Zevenhuizerplas (waterwijk) 135;100534;444615;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 136;Zevenhuizerplas (waterwijk) 136;100472;444628;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 137;Zevenhuizerplas (waterwijk) 137;100480;444710;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 138;Zevenhuizerplas (waterwijk) 138;100559;444752;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 139;Zevenhuizerplas (waterwijk) 139;100646;444782;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 14;Zevenhuizerplas 14;98300;443543;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 140;Zevenhuizerplas (waterwijk) 140;100423;444611;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 141;Zevenhuizerplas (waterwijk) 141;100360;444610;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 142;Zevenhuizerplas (waterwijk) 142;100275;444617;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 143;Zevenhuizerplas (waterwijk) 143;100344;444673;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 144;Zevenhuizerplas (waterwijk) 144;100407;444688;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 145;Zevenhuizerplas (waterwijk) 145;100273;444664;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 146;Zevenhuizerplas (waterwijk) 146;100254;444722;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 147;Zevenhuizerplas (waterwijk) 147;100323;444759;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 148;Zevenhuizerplas (waterwijk) 148;100410;444787;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 149;Zevenhuizerplas (waterwijk) 149;100505;444834;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 15;Zevenhuizerplas 15;98260;443577;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 150;Zevenhuizerplas (waterwijk) 150;100280;444775;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;;;;
ZHP 151;Zevenhuizerplas (waterwijk) 151;100238;444819;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 152;Zevenhuizerplas (waterwijk) 152;100285;444852;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 153;Zevenhuizerplas (waterwijk) 153;100342;444864;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;;;;
ZHP 154;Zevenhuizerplas (waterwijk) 154;100180;444810;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 155;Zevenhuizerplas (waterwijk) 155;100193;444850;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 156;Zevenhuizerplas (waterwijk) 156;100199;444917;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 157;Zevenhuizerplas (waterwijk) 157;100229;444715;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 158;Zevenhuizerplas (waterwijk) 158;100164;444683;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 159;Zevenhuizerplas (waterwijk) 159;100191;444629;SCHIEL;Schieland;1;;M20;;;2013;;Zavel met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 16;Zevenhuizerplas 16;98193;443571;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 160;Zevenhuizerplas (waterwijk) 160;100069;444647;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;9;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 161;Zevenhuizerplas (waterwijk) 161;100000;444641;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Hoofdwatergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 162;Zevenhuizerplas (waterwijk) 162;99913;444662;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Hoofdwatergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 163;Zevenhuizerplas (waterwijk) 163;99857;444743;SCHIEL;Schieland;1;;M20;;;2013;;Klei met zware tussenlaag of ondergrond;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Hoofdwatergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 164;Zevenhuizerplas (waterwijk) 164;99812;444728;SCHIEL;Schieland;1;;M20;;;2013;;Klei met zware tussenlaag of ondergrond;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 165;Zevenhuizerplas (waterwijk) 165;99714;444694;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;;;;
ZHP 166;Zevenhuizerplas (waterwijk) 166;99880;444652;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Hoofdwatergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 167;Zevenhuizerplas (waterwijk) 167;99795;444662;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;16;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 168;Zevenhuizerplas (waterwijk) 168;99654;444613;SCHIEL;Schieland;1;;M20;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;16;0,6;;;;
ZHP 169;Zevenhuizerplas (waterwijk) 169;99651;444698;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;;;;
ZHP 17;Zevenhuizerplas 17;98167;443591;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 170;Zevenhuizerplas (waterwijk) 170;99616;444656;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 171;Zevenhuizerplas (waterwijk) 171;99564;444644;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;;;;
ZHP 172;Zevenhuizerplas (waterwijk) 172;99550;444629;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;4;0,6;NL39_04a;Zevenhuizerplas;M20;
ZHP 173;Zevenhuizerplas 173;98246;443156;SCHIEL;Schieland;1;;M20;;;;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,7;NL39_04a;Zevenhuizerplas;M20;
ZHP 18;Zevenhuizerplas 18;98199;443625;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 19;Zevenhuizerplas 19;98145;443667;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 2;Zevenhuizerplas 2;98021;443667;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 20;Zevenhuizerplas 20;98101;443675;SCHIEL;Schieland;1;;M20;;;2013;;Lichte klei met homogeen profiel;KLEI;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 21;Zevenhuizerplas 21;98058;443677;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;5;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 22;Zevenhuizerplas 22;98180;443386;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 23;Zevenhuizerplas 23;98235;443396;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
ZHP 24;Zevenhuizerplas 24;98284;443381;SCHIEL;Schieland;1;;M20;;;2013;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Vlakdekkend;;Rotterdam;;;Overige watergang;;1;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
