mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
00043;Bergse Achterplas, plasje bij Ringdijk Peppelweg;92596;441398;SCHIEL;Schieland;3;;M27;;;1989;;Bebouwing;STEDELIJK;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Boezem;;;;13;0,9;NL39_07a;Bergse Plassen;M27;
00044;Bergse Achterplas, langs Ringdijk bij Buitenzorg;92310;440441;SCHIEL;Schieland;3;;M27;;;1989;;Bebouwing;STEDELIJK;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Boezem;;;;13;0,9;NL39_07a;Bergse Plassen;M27;
00045;Bergse Voorplas, voor Berg-/Broeksverlaat, sluis;93244;440191;SCHIEL;Schieland;3;;M27;;;1989;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;Rotte;Rotterdam;;;Overige watergang;;;;36;2;NL39_07a;Bergse Plassen;M27;
00046;ROTTE bij inlaat koornmolengat va steiger;98046;447054;SCHIEL;Schieland;1;via dijk Roerdomp;M03;;;1997;;Water;OVERIG;Groen;1;Zuidplas;;Boezem;Regulier;Rotte;Zevenhuizen;1;;Boezem;;;;125;1;NL39_01a;Rotteboezem;M3;
00047;KOORNMOLENGAT ringsloot voor filter bij pomp;98005;447120;SCHIEL;Schieland;1;via dijk Roerdomp;-;;;1997;;Water;OVERIG;Oranje;1;Zuidplas;;Recreatie;Regulier;Rotte;Zevenhuizen;1;;Overige watergang;;;;125;1;;;;
00048;KOORNMOLENGAT ringsloot na afloop uit rietveld;98206;446870;SCHIEL;Schieland;1;via dijk Roerdomp;-;;;1997;;Lichte klei met homogeen profiel;KLEI;Blauw;1;Zuidplas;;Recreatie;Regulier;Hennipsloot;Zevenhuizen;1;;Overige watergang;;;;8,2;1,3;;;;
00049;WILGENPLAS Teugeweg vanaf steiger;91276;441547;SCHIEL;Schieland;1;;-;;;1999;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;8;0,9;;;;
00050;Bleiswijkse Zoom, noordzijde nabij inlaat uit Rott;97497;446960;SCHIEL;Schieland;3;;M27;;;1988;;Lichte klei met homogeen profiel;KLEI;Groen;;Lansingerland;;Recreatie;Regulier;;Bleiswijk;;;Overige watergang;;;;5;0,7;NL39_06a;Bleiswijkse Zoom;M27;
00051;Zevenhuizerplas II bij parkeerplaats Middelweg;98631;444108;SCHIEL;Schieland;1;;M20;;;2002;;Lichte klei met homogeen profiel;KLEI;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;8;1;NL39_04a;Zevenhuizerplas;M20;
00052;Rotte, voor Berg- en Broekse Verlaat vanaf brug;93333;440120;SCHIEL;Schieland;3;;M03;;;1989;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Boezem;Regulier;Rotte;Rotterdam;;;Boezem;;;;36;2;NL39_01a;Rotteboezem;M3;
00053;Koornmolengat, ringsloot fietspad 200m va Roerdomp;98231;446882;SCHIEL;Schieland;1;projectpunt voor beperkte duur;-;;;2005;;Lichte klei met homogeen profiel;KLEI;Blauw;1;Zuidplas;;Recreatie;Regulier;Hennipsloot;Zevenhuizen;;;Overige watergang;;;;8,2;1,3;;;;
00054;VAART Bleiswijk to vijzelgemaal Bergweg-Noord;94002;444415;SCHIEL;Schieland;1;;M10;;1;1989;;Bebouwing;STEDELIJK;Blauw;1;Lansingerland;;Boezem;Regulier;;Bergschenhoek;1;;Boezem;;;;7;0,8;NL39_02a;Vaart Bleiswijk;M10;
00055;Boezemvaart voor  De Kooi, Rottekade 1 Bergschenho;97260;444816;SCHIEL;Schieland;3;;-;;;1989;;Veen op ongerijpte klei;VEEN;Blauw;;Lansingerland;;Boezem;Regulier;;Bergschenhoek;;;Boezem;;;;7;0,8;;;;
00056;Vaart Bleiswijk vanaf brug Merenweg, Bleiswijk;95944;446518;SCHIEL;Schieland;3;;M10;;;1989;;Bebouwing;STEDELIJK;Geel;;Lansingerland;;Glastuinbouw;Regulier;;Bleiswijk;;;Boezem;;;;7;0,8;NL39_02a;Vaart Bleiswijk;M10;
00057;RINGVAART ZPP va brug Bredeweg Moerkapelle;99422;450846;SCHIEL;Schieland;1;;M10;;;1989;;Lichte klei met homogeen profiel;KLEI;Groen;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Moerkapelle;1;;Overige watergang;;;;10,8;1,22;NL39_03a;Ringvaart;M10;
00058;ZEVENHUIZERPLAS II nabij strand oost in badzone;99447;444473;SCHIEL;Schieland;1;varen botenhelling Strandweg;M20;;;2006;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Recreatie;Regulier;;Rotterdam;1;;Overige watergang;;;;4;0,6;NL39_04a;Zevenhuizerplas;M20;1
00060;RINGVAART ZPP thv Wollefoppenweg vanaf brug;100635;443991;SCHIEL;Schieland;1;;M10;;1;1989;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Nieuwerkerk aan den IJssel;1;;Boezem;;;;12;1,89;NL39_03a;Ringvaart;M10;
00062;RINGVAART RDAM bij duiker onder Kralingse Zoom;96306;437768;SCHIEL;Schieland;1;;M10;;;1989;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Boezem;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;12;0,8;;;;
00063;Boezemkanaal Kralingsverlaat, steiger w. van sluis;94196;438809;SCHIEL;Schieland;1;;M03;;;1989;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Boezem;Regulier;Toevoerkanaal;Rotterdam;;;Boezem;;;;25;2,65;NL39_01a;Rotteboezem;M3;
00064;Kralingse Plas, t.o. Rozenburgpark voor duiker;94968;438304;SCHIEL;Schieland;3;;M14;;;1991;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;
00065;Kralingse Plas, bij Julianabrug Plaszoom;95250;438058;SCHIEL;Schieland;3;;M14;;;1975;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;
00066;SINGEL BOSZOOM bij gemaal thv Lagelandsepad;95961;439361;SCHIEL;Schieland;1;;M14;;;1991;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Recreatie;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;3;0,6;NL39_08a;Kralingse Plas;M14;
00067;KRALINGSE PLAS midden op plas;95041;438965;SCHIEL;Schieland;1;varen helling de Kooi;M14;;1;1991;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;Toevoerkanaal;Rotterdam;1;;Overige watergang;;;;25;2,65;NL39_08a;Kralingse Plas;M14;
